,"MagArray (490km, 1s step, ~94min total length for each, {x y z})","MagArray (520km, 1s step)","MagArray (490km, 0.5s step)","MagArray (520km, 0.5s step)"
,{    0.027586680       -0.169099585        0.214943991},{    0.024609227       -0.157305069        0.215201814},{    0.265930890       -0.104405574        0.074085374},{    0.262189489       -0.108364017        0.072646848}
,{    0.027709708       -0.169457388        0.214797381},{    0.024704277       -0.157659167        0.215073463},{    0.265938746       -0.104208155        0.074105156},{    0.262202692       -0.108170402        0.072663987}
,{    0.027833714       -0.169814898        0.214650246},{    0.024800264       -0.158013090        0.214944569},{    0.265946396       -0.104010743        0.074125030},{    0.262215696       -0.107976787        0.072681215}
,{    0.027958696       -0.170172112        0.214502587},{    0.024897190       -0.158366835        0.214815133},{    0.265953841       -0.103813337        0.074144993},{    0.262228501       -0.107783172        0.072698533}
,{    0.028084656       -0.170529027        0.214354405},{    0.024995054       -0.158720398        0.214685155},{    0.265961081       -0.103615938        0.074165047},{    0.262241107       -0.107589557        0.072715940}
,{    0.028211592       -0.170885638        0.214205703},{    0.025093857       -0.159073774        0.214554637},{    0.265968115       -0.103418546        0.074185190},{    0.262253515       -0.107395943        0.072733436}
,{    0.028339505       -0.171241940        0.214056482},{    0.025193599       -0.159426962        0.214423580},{    0.265974944       -0.103221161        0.074205424},{    0.262265722       -0.107202331        0.072751022}
,{    0.028468395       -0.171597931        0.213906743},{    0.025294281       -0.159779955        0.214291986},{    0.265981568       -0.103023784        0.074225748},{    0.262277731       -0.107008719        0.072768698}
,{    0.028598261       -0.171953606        0.213756488},{    0.025395903       -0.160132750        0.214159855},{    0.265987987       -0.102826415        0.074246161},{    0.262289541       -0.106815108        0.072786462}
,{    0.028729103       -0.172308961        0.213605719},{    0.025498466       -0.160485344        0.214027190},{    0.265994200       -0.102629054        0.074266665},{    0.262301151       -0.106621500        0.072804316}
,{    0.028860922       -0.172663993        0.213454437},{    0.025601968       -0.160837733        0.213893991},{    0.266000207       -0.102431701        0.074287259},{    0.262312562       -0.106427893        0.072822259}
,{    0.028993716       -0.173018696        0.213302643},{    0.025706411       -0.161189912        0.213760260},{    0.266006009       -0.102234356        0.074307942},{    0.262323774       -0.106234288        0.072840291}
,{    0.029127486       -0.173373067        0.213150340},{    0.025811796       -0.161541878        0.213625998},{    0.266011606       -0.102037021        0.074328715},{    0.262334786       -0.106040685        0.072858413}
,{    0.029262232       -0.173727103        0.212997529},{    0.025918121       -0.161893627        0.213491206},{    0.266016996       -0.101839694        0.074349578},{    0.262345600       -0.105847086        0.072876623}
,{    0.029397953       -0.174080799        0.212844212},{    0.026025388       -0.162245155        0.213355886},{    0.266022182       -0.101642377        0.074370530},{    0.262356213       -0.105653488        0.072894923}
,{    0.029534649       -0.174434151        0.212690389},{    0.026133596       -0.162596458        0.213220039},{    0.266027161       -0.101445069        0.074391572},{    0.262366627       -0.105459894        0.072913311}
,{    0.029672320       -0.174787156        0.212536064},{    0.026242746       -0.162947532        0.213083667},{    0.266031935       -0.101247771        0.074412704},{    0.262376842       -0.105266304        0.072931788}
,{    0.029810965       -0.175139809        0.212381236},{    0.026352838       -0.163298373        0.212946770},{    0.266036503       -0.101050483        0.074433925},{    0.262386857       -0.105072716        0.072950354}
,{    0.029950585       -0.175492106        0.212225909},{    0.026463871       -0.163648978        0.212809350},{    0.266040866       -0.100853206        0.074455235},{    0.262396673       -0.104879133        0.072969009}
,{    0.030091178       -0.175844043        0.212070084},{    0.026575847       -0.163999342        0.212671409},{    0.266045023       -0.100655938        0.074476635},{    0.262406289       -0.104685553        0.072987753}
,{    0.030232745       -0.176195617        0.211913762},{    0.026688766       -0.164349462        0.212532948},{    0.266048973       -0.100458682        0.074498124},{    0.262415705       -0.104491978        0.073006585}
,{    0.030375285       -0.176546824        0.211756945},{    0.026802626       -0.164699334        0.212393968},{    0.266052718       -0.100261437        0.074519703},{    0.262424922       -0.104298407        0.073025506}
,{    0.030518798       -0.176897659        0.211599635},{    0.026917429       -0.165048953        0.212254471},{    0.266056258       -0.100064202        0.074541371},{    0.262433938       -0.104104841        0.073044515}
,{    0.030663283       -0.177248119        0.211441833},{    0.027033175       -0.165398317        0.212114458},{    0.266059591       -0.099866980        0.074563128},{    0.262442756       -0.103911279        0.073063613}
,{    0.030808741       -0.177598200        0.211283541},{    0.027149863       -0.165747421        0.211973930},{    0.266062718       -0.099669769        0.074584974},{    0.262451373       -0.103717723        0.073082800}
,{    0.030955170       -0.177947898        0.211124761},{    0.027267494       -0.166096261        0.211832889},{    0.266065640       -0.099472570        0.074606909},{    0.262459791       -0.103524172        0.073102075}
,{    0.031102571       -0.178297209        0.210965495},{    0.027386067       -0.166444834        0.211691337},{    0.266068355       -0.099275384        0.074628933},{    0.262468008       -0.103330627        0.073121438}
,{    0.031250942       -0.178646128        0.210805744},{    0.027505583       -0.166793135        0.211549274},{    0.266070864       -0.099078209        0.074651046},{    0.262476026       -0.103137088        0.073140890}
,{    0.031400283       -0.178994653        0.210645509},{    0.027626042       -0.167141161        0.211406703},{    0.266073168       -0.098881048        0.074673248},{    0.262483844       -0.102943555        0.073160430}
,{    0.031550595       -0.179342779        0.210484793},{    0.027747443       -0.167488909        0.211263624},{    0.266075265       -0.098683900        0.074695539},{    0.262491462       -0.102750028        0.073180058}
,{    0.031701876       -0.179690503        0.210323598},{    0.027869787       -0.167836373        0.211120039},{    0.266077156       -0.098486765        0.074717919},{    0.262498880       -0.102556508        0.073199775}
,{    0.031854126       -0.180037820        0.210161924},{    0.027993074       -0.168183550        0.210975950},{    0.266078841       -0.098289643        0.074740388},{    0.262506098       -0.102362995        0.073219579}
,{    0.032007344       -0.180384727        0.209999774},{    0.028117303       -0.168530437        0.210831358},{    0.266080320       -0.098092535        0.074762945},{    0.262513116       -0.102169489        0.073239472}
,{    0.032161530       -0.180731219        0.209837150},{    0.028242474       -0.168877029        0.210686265},{    0.266081592       -0.097895441        0.074785591},{    0.262519934       -0.101975990        0.073259453}
,{    0.032316683       -0.181077294        0.209674053},{    0.028368588       -0.169223323        0.210540671},{    0.266082658       -0.097698362        0.074808325},{    0.262526552       -0.101782498        0.073279521}
,{    0.032472803       -0.181422946        0.209510485},{    0.028495643       -0.169569315        0.210394579},{    0.266083518       -0.097501296        0.074831148},{    0.262532969       -0.101589015        0.073299678}
,{    0.032629889       -0.181768173        0.209346447},{    0.028623641       -0.169915001        0.210247990},{    0.266084172       -0.097304246        0.074854060},{    0.262539186       -0.101395539        0.073319922}
,{    0.032787940       -0.182112970        0.209181942},{    0.028752581       -0.170260378        0.210100906},{    0.266084620       -0.097107211        0.074877060},{    0.262545204       -0.101202072        0.073340255}
,{    0.032946957       -0.182457334        0.209016972},{    0.028882462       -0.170605441        0.209953327},{    0.266084861       -0.096910191        0.074900148},{    0.262551020       -0.101008613        0.073360675}
,{    0.033106938       -0.182801260        0.208851537},{    0.029013285       -0.170950186        0.209805256},{    0.266084895       -0.096713186        0.074923325},{    0.262556637       -0.100815163        0.073381182}
,{    0.033267882       -0.183144746        0.208685641},{    0.029145050       -0.171294611        0.209656694},{    0.266084724       -0.096516197        0.074946590},{    0.262562053       -0.100621722        0.073401778}
,{    0.033429790       -0.183487786        0.208519284},{    0.029277755       -0.171638710        0.209507643},{    0.266084346       -0.096319224        0.074969944},{    0.262567269       -0.100428290        0.073422461}
,{    0.033592660       -0.183830378        0.208352468},{    0.029411402       -0.171982481        0.209358103},{    0.266083761       -0.096122267        0.074993385},{    0.262572285       -0.100234867        0.073443232}
,{    0.033756491       -0.184172517        0.208185196},{    0.029545989       -0.172325919        0.209208078},{    0.266082970       -0.095925327        0.075016915},{    0.262577100       -0.100041455        0.073464090}
,{    0.033921283       -0.184514200        0.208017468},{    0.029681517       -0.172669021        0.209057567},{    0.266081972       -0.095728404        0.075040533},{    0.262581715       -0.099848052        0.073485036}
,{    0.034087036       -0.184855423        0.207849288},{    0.029817985       -0.173011783        0.208906573},{    0.266080768       -0.095531498        0.075064239},{    0.262586129       -0.099654659        0.073506069}
,{    0.034253748       -0.185196183        0.207680656},{    0.029955393       -0.173354200        0.208755098},{    0.266079357       -0.095334608        0.075088032},{    0.262590343       -0.099461277        0.073527189}
,{    0.034421419       -0.185536474        0.207511574},{    0.030093741       -0.173696271        0.208603143},{    0.266077740       -0.095137737        0.075111914},{    0.262594356       -0.099267906        0.073548397}
,{    0.034590047       -0.185876294        0.207342045},{    0.030233027       -0.174037989        0.208450709},{    0.266075916       -0.094940883        0.075135884},{    0.262598169       -0.099074545        0.073569692}
,{    0.034759633       -0.186215639        0.207172070},{    0.030373254       -0.174379353        0.208297798},{    0.266073885       -0.094744047        0.075159941},{    0.262601781       -0.098881195        0.073591074}
,{    0.034930175       -0.186554506        0.207001651},{    0.030514418       -0.174720358        0.208144411},{    0.266071648       -0.094547229        0.075184086},{    0.262605192       -0.098687857        0.073612544}
,{    0.035101673       -0.186892889        0.206830789},{    0.030656521       -0.175061000        0.207990551},{    0.266069204       -0.094350430        0.075208319},{    0.262608403       -0.098494531        0.073634100}
,{    0.035274125       -0.187230786        0.206659488},{    0.030799562       -0.175401275        0.207836219},{    0.266066553       -0.094153650        0.075232640},{    0.262611413       -0.098301216        0.073655744}
,{    0.035447532       -0.187568194        0.206487747},{    0.030943541       -0.175741180        0.207681416},{    0.266063696       -0.093956889        0.075257048},{    0.262614223       -0.098107914        0.073677475}
,{    0.035621891       -0.187905107        0.206315570},{    0.031088457       -0.176080712        0.207526144},{    0.266060632       -0.093760147        0.075281544},{    0.262616831       -0.097914623        0.073699292}
,{    0.035797202       -0.188241523        0.206142959},{    0.031234309       -0.176419866        0.207370405},{    0.266057361       -0.093563424        0.075306127},{    0.262619239       -0.097721346        0.073721197}
,{    0.035973465       -0.188577438        0.205969914},{    0.031381098       -0.176758638        0.207214201},{    0.266053883       -0.093366722        0.075330798},{    0.262621446       -0.097528081        0.073743188}
,{    0.036150678       -0.188912848        0.205796438},{    0.031528823       -0.177097025        0.207057532},{    0.266050198       -0.093170039        0.075355557},{    0.262623453       -0.097334829        0.073765267}
,{    0.036328840       -0.189247750        0.205622533},{    0.031677483       -0.177435024        0.206900401},{    0.266046307       -0.092973377        0.075380402},{    0.262625258       -0.097141591        0.073787432}
,{    0.036507951       -0.189582139        0.205448201},{    0.031827078       -0.177772630        0.206742809},{    0.266042208       -0.092776735        0.075405335},{    0.262626863       -0.096948366        0.073809683}
,{    0.036688010       -0.189916013        0.205273443},{    0.031977608       -0.178109840        0.206584757},{    0.266037903       -0.092580114        0.075430355},{    0.262628266       -0.096755155        0.073832022}
,{    0.036869015       -0.190249367        0.205098262},{    0.032129072       -0.178446650        0.206426249},{    0.266033390       -0.092383514        0.075455463},{    0.262629469       -0.096561958        0.073854447}
,{    0.037050966       -0.190582197        0.204922659},{    0.032281469       -0.178783056        0.206267284},{    0.266028671       -0.092186935        0.075480657},{    0.262630471       -0.096368776        0.073876958}
,{    0.037233861       -0.190914502        0.204746636},{    0.032434799       -0.179119055        0.206107866},{    0.266023745       -0.091990378        0.075505939},{    0.262631272       -0.096175607        0.073899556}
,{    0.037417700       -0.191246275        0.204570196},{    0.032589062       -0.179454643        0.205947994},{    0.266018612       -0.091793843        0.075531307},{    0.262631871       -0.095982454        0.073922241}
,{    0.037602481       -0.191577515        0.204393340},{    0.032744256       -0.179789816        0.205787673},{    0.266013271       -0.091597329        0.075556763},{    0.262632270       -0.095789316        0.073945012}
,{    0.037788204       -0.191908217        0.204216069},{    0.032900382       -0.180124571        0.205626902},{    0.266007724       -0.091400838        0.075582306},{    0.262632468       -0.095596193        0.073967869}
,{    0.037974868       -0.192238377        0.204038387},{    0.033057438       -0.180458904        0.205465683},{    0.266001970       -0.091204370        0.075607935},{    0.262632464       -0.095403085        0.073990812}
,{    0.038162470       -0.192567993        0.203860294},{    0.033215425       -0.180792812        0.205304019},{    0.265996008       -0.091007925        0.075633651},{    0.262632260       -0.095209993        0.074013842}
,{    0.038351012       -0.192897061        0.203681793},{    0.033374341       -0.181126290        0.205141911},{    0.265989839       -0.090811502        0.075659455},{    0.262631854       -0.095016917        0.074036958}
,{    0.038540490       -0.193225576        0.203502886},{    0.033534185       -0.181459335        0.204979360},{    0.265983464       -0.090615103        0.075685344},{    0.262631247       -0.094823858        0.074060161}
,{    0.038730904       -0.193553536        0.203323574},{    0.033694958       -0.181791944        0.204816369},{    0.265976881       -0.090418728        0.075711321},{    0.262630439       -0.094630814        0.074083449}
,{    0.038922254       -0.193880937        0.203143860},{    0.033856658       -0.182124112        0.204652939},{    0.265970091       -0.090222376        0.075737384},{    0.262629430       -0.094437788        0.074106823}
,{    0.039114537       -0.194207775        0.202963745},{    0.034019286       -0.182455837        0.204489072},{    0.265963093       -0.090026049        0.075763534},{    0.262628219       -0.094244778        0.074130283}
,{    0.039307753       -0.194534047        0.202783232},{    0.034182839       -0.182787115        0.204324769},{    0.265955889       -0.089829745        0.075789770},{    0.262626808       -0.094051786        0.074153830}
,{    0.039501901       -0.194859750        0.202602322},{    0.034347318       -0.183117941        0.204160033},{    0.265948477       -0.089633467        0.075816093},{    0.262625195       -0.093858811        0.074177462}
,{    0.039696979       -0.195184879        0.202421017},{    0.034512721       -0.183448313        0.203994864},{    0.265940858       -0.089437213        0.075842502},{    0.262623380       -0.093665854        0.074201180}
,{    0.039892986       -0.195509431        0.202239320},{    0.034679049       -0.183778226        0.203829266},{    0.265933032       -0.089240985        0.075868998},{    0.262621365       -0.093472915        0.074224984}
,{    0.040089921       -0.195833403        0.202057232},{    0.034846299       -0.184107678        0.203663239},{    0.265924998       -0.089044782        0.075895580},{    0.262619148       -0.093279994        0.074248873}
,{    0.040287782       -0.196156792        0.201874756},{    0.035014472       -0.184436665        0.203496785},{    0.265916758       -0.088848604        0.075922248},{    0.262616729       -0.093087091        0.074272848}
,{    0.040486569       -0.196479593        0.201691892},{    0.035183567       -0.184765182        0.203329906},{    0.265908309       -0.088652453        0.075949002},{    0.262614109       -0.092894207        0.074296909}
,{    0.040686281       -0.196801803        0.201508644},{    0.035353583       -0.185093227        0.203162604},{    0.265899654       -0.088456328        0.075975843},{    0.262611288       -0.092701342        0.074321056}
,{    0.040886915       -0.197123420        0.201325012},{    0.035524518       -0.185420796        0.202994880},{    0.265890791       -0.088260229        0.076002769},{    0.262608265       -0.092508497        0.074345288}
,{    0.041088471       -0.197444439        0.201141000},{    0.035696373       -0.185747886        0.202826737},{    0.265881721       -0.088064157        0.076029782},{    0.262605041       -0.092315670        0.074369605}
,{    0.041290947       -0.197764857        0.200956609},{    0.035869147       -0.186074492        0.202658176},{    0.265872443       -0.087868111        0.076056881},{    0.262601615       -0.092122864        0.074394008}
,{    0.041494342       -0.198084670        0.200771841},{    0.036042838       -0.186400612        0.202489199},{    0.265862958       -0.087672093        0.076084065},{    0.262597988       -0.091930077        0.074418497}
,{    0.041698655       -0.198403876        0.200586699},{    0.036217445       -0.186726241        0.202319808},{    0.265853266       -0.087476103        0.076111336},{    0.262594159       -0.091737310        0.074443070}
,{    0.041903885       -0.198722471        0.200401183},{    0.036392969       -0.187051377        0.202150004},{    0.265843366       -0.087280140        0.076138692},{    0.262590129       -0.091544564        0.074467729}
,{    0.042110029       -0.199040451        0.200215296},{    0.036569407       -0.187376015        0.201979789},{    0.265833258       -0.087084205        0.076166134},{    0.262585897       -0.091351838        0.074492473}
,{    0.042317087       -0.199357813        0.200029041},{    0.036746759       -0.187700153        0.201809165},{    0.265822943       -0.086888298        0.076193662},{    0.262581463       -0.091159133        0.074517303}
,{    0.042525057       -0.199674553        0.199842418},{    0.036925025       -0.188023787        0.201638134},{    0.265812421       -0.086692420        0.076221276},{    0.262576828       -0.090966450        0.074542217}
,{    0.042733938       -0.199990669        0.199655431},{    0.037104202       -0.188346913        0.201466698},{    0.265801691       -0.086496571        0.076248975},{    0.262571991       -0.090773788        0.074567217}
,{    0.042943729       -0.200306157        0.199468081},{    0.037284291       -0.188669528        0.201294858},{    0.265790754       -0.086300750        0.076276760},{    0.262566953       -0.090581147        0.074592301}
,{    0.043154428       -0.200621013        0.199280369},{    0.037465290       -0.188991628        0.201122617},{    0.265779609       -0.086104959        0.076304630},{    0.262561713       -0.090388528        0.074617471}
,{    0.043366033       -0.200935235        0.199092299},{    0.037647198       -0.189313210        0.200949976},{    0.265768256       -0.085909197        0.076332586},{    0.262556271       -0.090195932        0.074642725}
,{    0.043578543       -0.201248819        0.198903872},{    0.037830015       -0.189634271        0.200776936},{    0.265756696       -0.085713466        0.076360627},{    0.262550627       -0.090003358        0.074668065}
,{    0.043791957       -0.201561761        0.198715091},{    0.038013739       -0.189954807        0.200603501},{    0.265744929       -0.085517764        0.076388754},{    0.262544782       -0.089810806        0.074693489}
,{    0.044006274       -0.201874058        0.198525956},{    0.038198369       -0.190274814        0.200429671},{    0.265732954       -0.085322093        0.076416966},{    0.262538735       -0.089618278        0.074718998}
,{    0.044221491       -0.202185708        0.198336471},{    0.038383904       -0.190594289        0.200255448},{    0.265720771       -0.085126452        0.076445263},{    0.262532486       -0.089425772        0.074744592}
,{    0.044437607       -0.202496707        0.198146637},{    0.038570344       -0.190913230        0.200080835},{    0.265708380       -0.084930842        0.076473646},{    0.262526035       -0.089233290        0.074770270}
,{    0.044654621       -0.202807051        0.197956456},{    0.038757686       -0.191231631        0.199905833},{    0.265695782       -0.084735263        0.076502113},{    0.262519383       -0.089040831        0.074796033}
,{    0.044872532       -0.203116737        0.197765930},{    0.038945931       -0.191549491        0.199730444},{    0.265682977       -0.084539715        0.076530666},{    0.262512528       -0.088848397        0.074821880}
,{    0.045091336       -0.203425762        0.197575062},{    0.039135076       -0.191866805        0.199554670},{    0.265669963       -0.084344199        0.076559304},{    0.262505472       -0.088655986        0.074847813}
,{    0.045311034       -0.203734124        0.197383854},{    0.039325122       -0.192183570        0.199378513},{    0.265656742       -0.084148715        0.076588027},{    0.262498214       -0.088463600        0.074873829}
,{    0.045531624       -0.204041818        0.197192306},{    0.039516066       -0.192499783        0.199201974},{    0.265643313       -0.083953263        0.076616834},{    0.262490754       -0.088271238        0.074899930}
,{    0.045753104       -0.204348841        0.197000423},{    0.039707907       -0.192815441        0.199025055},{    0.265629677       -0.083757844        0.076645727},{    0.262483092       -0.088078902        0.074926115}
,{    0.045975471       -0.204655190        0.196808204},{    0.039900646       -0.193130540        0.198847759},{    0.265615833       -0.083562457        0.076674705},{    0.262475229       -0.087886590        0.074952385}
,{    0.046198726       -0.204960863        0.196615654},{    0.040094279       -0.193445076        0.198670087},{    0.265601781       -0.083367103        0.076703767},{    0.262467163       -0.087694304        0.074978739}
,{    0.046422866       -0.205265855        0.196422773},{    0.040288806       -0.193759047        0.198492041},{    0.265587521       -0.083171782        0.076732914},{    0.262458895       -0.087502043        0.075005177}
,{    0.046647889       -0.205570165        0.196229563},{    0.040484227       -0.194072449        0.198313624},{    0.265573054       -0.082976495        0.076762146},{    0.262450426       -0.087309809        0.075031699}
,{    0.046873794       -0.205873787        0.196036028},{    0.040680539       -0.194385279        0.198134835},{    0.265558379       -0.082781242        0.076791462},{    0.262441754       -0.087117600        0.075058305}
,{    0.047100580       -0.206176721        0.195842168},{    0.040877742       -0.194697533        0.197955679},{    0.265543496       -0.082586022        0.076820863},{    0.262432880       -0.086925418        0.075084996}
,{    0.047328244       -0.206478961        0.195647986},{    0.041075834       -0.195009209        0.197776156},{    0.265528406       -0.082390837        0.076850348},{    0.262423805       -0.086733262        0.075111770}
,{    0.047556784       -0.206780506        0.195453484},{    0.041274814       -0.195320302        0.197596269},{    0.265513107       -0.082195686        0.076879918},{    0.262414527       -0.086541133        0.075138628}
,{    0.047786200       -0.207081352        0.195258664},{    0.041474681       -0.195630810        0.197416019},{    0.265497601       -0.082000570        0.076909573},{    0.262405047       -0.086349032        0.075165571}
,{    0.048016490       -0.207381496        0.195063528},{    0.041675433       -0.195940730        0.197235409},{    0.265481887       -0.081805489        0.076939312},{    0.262395366       -0.086156957        0.075192597}
,{    0.048247651       -0.207680936        0.194868078},{    0.041877070       -0.196250058        0.197054439},{    0.265465966       -0.081610443        0.076969135},{    0.262385482       -0.085964911        0.075219707}
,{    0.048479682       -0.207979667        0.194672317},{    0.042079590       -0.196558790        0.196873113},{    0.265449836       -0.081415433        0.076999042},{    0.262375396       -0.085772892        0.075246900}
,{    0.048712582       -0.208277687        0.194476246},{    0.042282991       -0.196866924        0.196691432},{    0.265433499       -0.081220459        0.077029034},{    0.262365108       -0.085580901        0.075274178}
,{    0.048946348       -0.208574993        0.194279867},{    0.042487273       -0.197174457        0.196509398},{    0.265416954       -0.081025521        0.077059110},{    0.262354618       -0.085388939        0.075301539}
,{    0.049180979       -0.208871581        0.194083182},{    0.042692434       -0.197481385        0.196327012},{    0.265400201       -0.080830619        0.077089269},{    0.262343925       -0.085197005        0.075328983}
,{    0.049416473       -0.209167450        0.193886194},{    0.042898472       -0.197787704        0.196144278},{    0.265383240       -0.080635754        0.077119513},{    0.262333031       -0.085005100        0.075356511}
,{    0.049652828       -0.209462596        0.193688904},{    0.043105387       -0.198093413        0.195961196},{    0.265366071       -0.080440925        0.077149841},{    0.262321935       -0.084813225        0.075384123}
,{    0.049890043       -0.209757015        0.193491316},{    0.043313177       -0.198398507        0.195777768},{    0.265348695       -0.080246134        0.077180253},{    0.262310636       -0.084621378        0.075411818}
,{    0.050128115       -0.210050705        0.193293429},{    0.043521840       -0.198702984        0.195593998},{    0.265331111       -0.080051380        0.077210749},{    0.262299135       -0.084429562        0.075439596}
,{    0.050367043       -0.210343664        0.193095248},{    0.043731376       -0.199006840        0.195409885},{    0.265313318       -0.079856664        0.077241329},{    0.262287432       -0.084237775        0.075467458}
,{    0.050606825       -0.210635887        0.192896774},{    0.043941783       -0.199310072        0.195225434},{    0.265295318       -0.079661986        0.077271992},{    0.262275526       -0.084046018        0.075495403}
,{    0.050847459       -0.210927372        0.192698008},{    0.044153058       -0.199612677        0.195040644},{    0.265277111       -0.079467346        0.077302739},{    0.262263419       -0.083854292        0.075523431}
,{    0.051088943       -0.211218117        0.192498954},{    0.044365202       -0.199914652        0.194855519},{    0.265258695       -0.079272744        0.077333570},{    0.262251109       -0.083662596        0.075551543}
,{    0.051331276       -0.211508118        0.192299613},{    0.044578213       -0.200215994        0.194670060},{    0.265240071       -0.079078182        0.077364485},{    0.262238597       -0.083470932        0.075579737}
,{    0.051574455       -0.211797372        0.192099987},{    0.044792088       -0.200516699        0.194484269},{    0.265221239       -0.078883658        0.077395483},{    0.262225883       -0.083279298        0.075608015}
,{    0.051818478       -0.212085877        0.191900078},{    0.045006827       -0.200816765        0.194298149},{    0.265202200       -0.078689173        0.077426564},{    0.262212966       -0.083087696        0.075636375}
,{    0.052063345       -0.212373630        0.191699889},{    0.045222428       -0.201116188        0.194111700},{    0.265182953       -0.078494728        0.077457729},{    0.262199848       -0.082896125        0.075664819}
,{    0.052309052       -0.212660627        0.191499421},{    0.045438890       -0.201414966        0.193924925},{    0.265163497       -0.078300323        0.077488978},{    0.262186527       -0.082704587        0.075693345}
,{    0.052555599       -0.212946866        0.191298677},{    0.045656211       -0.201713095        0.193737827},{    0.265143834       -0.078105958        0.077520310},{    0.262173003       -0.082513081        0.075721955}
,{    0.052802982       -0.213232345        0.191097658},{    0.045874390       -0.202010572        0.193550406},{    0.265123963       -0.077911634        0.077551725},{    0.262159278       -0.082321607        0.075750647}
,{    0.053051200       -0.213517060        0.190896368},{    0.046093424       -0.202307395        0.193362666},{    0.265103884       -0.077717349        0.077583223},{    0.262145350       -0.082130165        0.075779422}
,{    0.053300251       -0.213801008        0.190694807},{    0.046313314       -0.202603560        0.193174607},{    0.265083598       -0.077523106        0.077614805},{    0.262131220       -0.081938757        0.075808280}
,{    0.053550134       -0.214084187        0.190492978},{    0.046534056       -0.202899064        0.192986232},{    0.265063103       -0.077328904        0.077646470},{    0.262116887       -0.081747382        0.075837220}
,{    0.053800845       -0.214366595        0.190290883},{    0.046755650       -0.203193904        0.192797543},{    0.265042400       -0.077134743        0.077678218},{    0.262102352       -0.081556040        0.075866243}
,{    0.054052384       -0.214648227        0.190088525},{    0.046978093       -0.203488077        0.192608541},{    0.265021490       -0.076940625        0.077710049},{    0.262087615       -0.081364732        0.075895348}
,{    0.054304748       -0.214929082        0.189885904},{    0.047201385       -0.203781580        0.192419229},{    0.265000371       -0.076746547        0.077741963},{    0.262072676       -0.081173458        0.075924536}
,{    0.054557935       -0.215209157        0.189683024},{    0.047425524       -0.204074411        0.192229609},{    0.264979045       -0.076552513        0.077773960},{    0.262057534       -0.080982218        0.075953807}
,{    0.054811943       -0.215488449        0.189479887},{    0.047650507       -0.204366566        0.192039683},{    0.264957510       -0.076358520        0.077806040},{    0.262042189       -0.080791012        0.075983160}
,{    0.055066770       -0.215766955        0.189276494},{    0.047876334       -0.204658042        0.191849452},{    0.264935768       -0.076164571        0.077838202},{    0.262026643       -0.080599842        0.076012595}
,{    0.055322415       -0.216044673        0.189072847},{    0.048103003       -0.204948836        0.191658919},{    0.264913818       -0.075970664        0.077870448},{    0.262010894       -0.080408706        0.076042112}
,{    0.055578874       -0.216321600        0.188868950},{    0.048330512       -0.205238946        0.191468086},{    0.264891660       -0.075776801        0.077902776},{    0.261994943       -0.080217605        0.076071712}
,{    0.055836146       -0.216597733        0.188664803},{    0.048558860       -0.205528368        0.191276954},{    0.264869294       -0.075582981        0.077935187},{    0.261978789       -0.080026540        0.076101394}
,{    0.056094230       -0.216873070        0.188460409},{    0.048788044       -0.205817100        0.191085526},{    0.264846720       -0.075389205        0.077967680},{    0.261962433       -0.079835511        0.076131158}
,{    0.056353122       -0.217147608        0.188255770},{    0.049018064       -0.206105139        0.190893803},{    0.264823939       -0.075195473        0.078000256},{    0.261945874       -0.079644518        0.076161004}
,{    0.056612821       -0.217421345        0.188050889},{    0.049248917       -0.206392481        0.190701787},{    0.264800949       -0.075001786        0.078032915},{    0.261929113       -0.079453561        0.076190933}
,{    0.056873324       -0.217694277        0.187845766},{    0.049480602       -0.206679125        0.190509482},{    0.264777752       -0.074808143        0.078065656},{    0.261912150       -0.079262640        0.076220943}
,{    0.057134631       -0.217966403        0.187640405},{    0.049713117       -0.206965066        0.190316887},{    0.264754346       -0.074614545        0.078098479},{    0.261894984       -0.079071756        0.076251035}
,{    0.057396737       -0.218237719        0.187434807},{    0.049946460       -0.207250303        0.190124007},{    0.264730733       -0.074420993        0.078131385},{    0.261877616       -0.078880910        0.076281209}
,{    0.057659642       -0.218508224        0.187228975},{    0.050180630       -0.207534832        0.189930841},{    0.264706912       -0.074227486        0.078164373},{    0.261860046       -0.078690100        0.076311465}
,{    0.057923343       -0.218777914        0.187022911},{    0.050415625       -0.207818651        0.189737393},{    0.264682883       -0.074034024        0.078197444},{    0.261842273       -0.078499328        0.076341802}
,{    0.058187838       -0.219046787        0.186816616},{    0.050651443       -0.208101757        0.189543665},{    0.264658646       -0.073840608        0.078230596},{    0.261824297       -0.078308594        0.076372222}
,{    0.058453126       -0.219314841        0.186610093},{    0.050888083       -0.208384146        0.189349658},{    0.264634201       -0.073647239        0.078263831},{    0.261806119       -0.078117898        0.076402723}
,{    0.058719203       -0.219582073        0.186403344},{    0.051125542       -0.208665817        0.189155375},{    0.264609548       -0.073453916        0.078297148},{    0.261787739       -0.077927240        0.076433305}
,{    0.058986067       -0.219848480        0.186196370},{    0.051363819       -0.208946766        0.188960817},{    0.264584687       -0.073260641        0.078330546},{    0.261769157       -0.077736621        0.076463969}
,{    0.059253717       -0.220114061        0.185989175},{    0.051602912       -0.209226991        0.188765986},{    0.264559619       -0.073067412        0.078364027},{    0.261750371       -0.077546041        0.076494715}
