,"MagArray (490km, 1s step, ~94min total length for each, {x y z})","MagArray (520km, 1s step)","MagArray (490km, 0.5s step)","MagArray (520km, 0.5s step)"
,{    0.201138612        0.103910437        0.247983980},{    0.198367797        0.102201153        0.244416850},{    0.223720208        0.101352794        0.237445965},{    0.220433403        0.099689536        0.234093707}
,{    0.200599482        0.103937856        0.248223817},{    0.197841027        0.102228471        0.244651883},{    0.223458997        0.101398558        0.237573597},{    0.220178129        0.099734292        0.234218699}
,{    0.200060062        0.103963757        0.248463256},{    0.197313976        0.102254317        0.244886529},{    0.223197665        0.101443953        0.237701148},{    0.219922738        0.099778690        0.234343613}
,{    0.199520357        0.103988140        0.248702295},{    0.196786647        0.102278691        0.245120788},{    0.222936212        0.101488979        0.237828618},{    0.219667228        0.099822728        0.234468447}
,{    0.198980373        0.104011005        0.248940931},{    0.196259046        0.102301593        0.245354657},{    0.222674638        0.101533634        0.237956007},{    0.219411603        0.099866408        0.234593203}
,{    0.198440114        0.104032350        0.249179164},{    0.195731176        0.102323020        0.245588134},{    0.222412944        0.101577920        0.238083314},{    0.219155861        0.099909729        0.234717880}
,{    0.197899585        0.104052175        0.249416991},{    0.195203043        0.102342974        0.245821219},{    0.222151130        0.101621836        0.238210539},{    0.218900003        0.099952691        0.234842477}
,{    0.197358791        0.104070480        0.249654411},{    0.194674651        0.102361454        0.246053909},{    0.221889198        0.101665382        0.238337682},{    0.218644030        0.099995294        0.234966995}
,{    0.196817736        0.104087265        0.249891422},{    0.194146005        0.102378459        0.246286203},{    0.221627148        0.101708558        0.238464743},{    0.218387943        0.100037538        0.235091433}
,{    0.196276425        0.104102528        0.250128022},{    0.193617109        0.102393988        0.246518100},{    0.221364979        0.101751363        0.238591721},{    0.218131741        0.100079422        0.235215791}
,{    0.195734863        0.104116270        0.250364210},{    0.193087967        0.102408042        0.246749597},{    0.221102694        0.101793797        0.238718616},{    0.217875426        0.100120946        0.235340069}
,{    0.195193055        0.104128489        0.250599984},{    0.192558586        0.102420620        0.246980692},{    0.220840292        0.101835861        0.238845429},{    0.217618997        0.100162111        0.235464267}
,{    0.194651006        0.104139186        0.250835343},{    0.192028968        0.102431721        0.247211385},{    0.220577774        0.101877553        0.238972159},{    0.217362457        0.100202916        0.235588383}
,{    0.194108720        0.104148360        0.251070284},{    0.191499119        0.102441346        0.247441674},{    0.220315140        0.101918875        0.239098805},{    0.217105804        0.100243360        0.235712419}
,{    0.193566203        0.104156011        0.251304806},{    0.190969044        0.102449493        0.247671557},{    0.220052391        0.101959825        0.239225367},{    0.216849040        0.100283445        0.235836374}
,{    0.193023459        0.104162139        0.251538907},{    0.190438746        0.102456163        0.247901033},{    0.219789528        0.102000404        0.239351846},{    0.216592165        0.100323169        0.235960248}
,{    0.192480493        0.104166742        0.251772586},{    0.189908231        0.102461355        0.248130099},{    0.219526551        0.102040612        0.239478240},{    0.216335179        0.100362532        0.236084040}
,{    0.191937309        0.104169821        0.252005841},{    0.189377504        0.102465069        0.248358754},{    0.219263461        0.102080448        0.239604551},{    0.216078084        0.100401536        0.236207751}
,{    0.191393914        0.104171376        0.252238670},{    0.188846568        0.102467304        0.248586997},{    0.219000258        0.102119912        0.239730777},{    0.215820879        0.100440178        0.236331380}
,{    0.190850311        0.104171405        0.252471071},{    0.188315429        0.102468061        0.248814826},{    0.218736943        0.102159004        0.239856918},{    0.215563566        0.100478459        0.236454926}
,{    0.190306506        0.104169910        0.252703044},{    0.187784092        0.102467338        0.249042240},{    0.218473516        0.102197724        0.239982974},{    0.215306144        0.100516380        0.236578390}
,{    0.189762503        0.104166889        0.252934586},{    0.187252560        0.102465136        0.249269236},{    0.218209978        0.102236072        0.240108945},{    0.215048615        0.100553939        0.236701772}
,{    0.189218307        0.104162343        0.253165695},{    0.186720840        0.102461455        0.249495813},{    0.217946330        0.102274047        0.240234831},{    0.214790978        0.100591137        0.236825071}
,{    0.188673924        0.104156270        0.253396371},{    0.186188934        0.102456295        0.249721970},{    0.217682572        0.102311650        0.240360631},{    0.214533235        0.100627974        0.236948287}
,{    0.188129357        0.104148672        0.253626611},{    0.185656849        0.102449654        0.249947705},{    0.217418704        0.102348881        0.240486345},{    0.214275386        0.100664449        0.237071420}
,{    0.187584612        0.104139548        0.253856413},{    0.185124588        0.102441534        0.250173017},{    0.217154728        0.102385738        0.240611973},{    0.214017432        0.100700562        0.237194469}
,{    0.187039695        0.104128897        0.254085777},{    0.184592157        0.102431933        0.250397903},{    0.216890643        0.102422223        0.240737515},{    0.213759372        0.100736314        0.237317435}
,{    0.186494608        0.104116719        0.254314700},{    0.184059560        0.102420852        0.250622362},{    0.216626451        0.102458335        0.240862971},{    0.213501208        0.100771703        0.237440317}
,{    0.185949359        0.104103016        0.254543180},{    0.183526802        0.102408291        0.250846393},{    0.216362151        0.102494073        0.240988340},{    0.213242940        0.100806731        0.237563115}
,{    0.185403951        0.104087785        0.254771217},{    0.182993887        0.102394249        0.251069994},{    0.216097745        0.102529439        0.241113622},{    0.212984569        0.100841396        0.237685829}
,{    0.184858390        0.104071028        0.254998808},{    0.182460821        0.102378727        0.251293164},{    0.215833233        0.102564430        0.241238817},{    0.212726095        0.100875700        0.237808458}
,{    0.184312680        0.104052743        0.255225952},{    0.181927608        0.102361724        0.251515900},{    0.215568615        0.102599048        0.241363924},{    0.212467518        0.100909640        0.237931002}
,{    0.183766826        0.104032932        0.255452647},{    0.181394253        0.102343240        0.251738202},{    0.215303893        0.102633293        0.241488944},{    0.212208840        0.100943218        0.238053462}
,{    0.183220834        0.104011594        0.255678891},{    0.180860760        0.102323276        0.251960068},{    0.215039066        0.102667164        0.241613876},{    0.211950061        0.100976434        0.238175837}
,{    0.182674708        0.103988729        0.255904684},{    0.180327134        0.102301831        0.252181496},{    0.214774136        0.102700660        0.241738720},{    0.211691181        0.101009287        0.238298126}
,{    0.182128453        0.103964337        0.256130023},{    0.179793380        0.102278906        0.252402484},{    0.214509103        0.102733783        0.241863476},{    0.211432201        0.101041776        0.238420330}
,{    0.181582074        0.103938419        0.256354906},{    0.179259504        0.102254500        0.252623031},{    0.214243966        0.102766531        0.241988144},{    0.211173121        0.101073903        0.238542448}
,{    0.181035577        0.103910973        0.256579333},{    0.178725508        0.102228613        0.252843136},{    0.213978728        0.102798905        0.242112723},{    0.210913943        0.101105667        0.238664480}
,{    0.180488965        0.103882001        0.256803301},{    0.178191399        0.102201246        0.253062797},{    0.213713389        0.102830905        0.242237213},{    0.210654666        0.101137067        0.238786426}
,{    0.179942244        0.103851502        0.257026809},{    0.177657181        0.102172398        0.253282012},{    0.213447948        0.102862530        0.242361613},{    0.210395291        0.101168104        0.238908286}
,{    0.179395420        0.103819477        0.257249855},{    0.177122858        0.102142070        0.253500780},{    0.213182407        0.102893781        0.242485925},{    0.210135819        0.101198777        0.239030059}
,{    0.178848496        0.103785925        0.257472438},{    0.176588436        0.102110262        0.253719099},{    0.212916767        0.102924656        0.242610147},{    0.209876250        0.101229087        0.239151746}
,{    0.178301478        0.103750847        0.257694555},{    0.176053920        0.102076974        0.253936969},{    0.212651027        0.102955157        0.242734279},{    0.209616584        0.101259033        0.239273345}
,{    0.177754371        0.103714243        0.257916207},{    0.175519313        0.102042206        0.254154386},{    0.212385189        0.102985282        0.242858322},{    0.209356823        0.101288615        0.239394857}
,{    0.177207180        0.103676113        0.258137390},{    0.174984621        0.102005958        0.254371350},{    0.212119253        0.103015032        0.242982274},{    0.209096967        0.101317833        0.239516282}
,{    0.176659910        0.103636457        0.258358103},{    0.174449849        0.101968231        0.254587859},{    0.211853219        0.103044407        0.243106135},{    0.208837017        0.101346688        0.239637619}
,{    0.176112566        0.103595276        0.258578345},{    0.173915002        0.101929024        0.254803911},{    0.211587088        0.103073407        0.243229906},{    0.208576972        0.101375178        0.239758868}
,{    0.175565152        0.103552570        0.258798114},{    0.173380083        0.101888339        0.255019506},{    0.211320862        0.103102031        0.243353587},{    0.208316833        0.101403303        0.239880030}
,{    0.175017674        0.103508338        0.259017409},{    0.172845099        0.101846175        0.255234641},{    0.211054539        0.103130280        0.243477176},{    0.208056602        0.101431065        0.240001103}
,{    0.174470138        0.103462582        0.259236228},{    0.172310053        0.101802532        0.255449316},{    0.210788121        0.103158152        0.243600674},{    0.207796279        0.101458461        0.240122087}
,{    0.173922547        0.103415302        0.259454569},{    0.171774951        0.101757411        0.255663528},{    0.210521609        0.103185649        0.243724080},{    0.207535863        0.101485493        0.240242983}
,{    0.173374906        0.103366498        0.259672430},{    0.171239797        0.101710812        0.255877275},{    0.210255002        0.103212770        0.243847395},{    0.207275356        0.101512161        0.240363790}
,{    0.172827222        0.103316170        0.259889811},{    0.170704596        0.101662735        0.256090558},{    0.209988303        0.103239515        0.243970618},{    0.207014759        0.101538464        0.240484508}
,{    0.172279499        0.103264319        0.260106710},{    0.170169353        0.101613181        0.256303373},{    0.209721510        0.103265883        0.244093748},{    0.206754071        0.101564401        0.240605137}
,{    0.171731741        0.103210945        0.260323125},{    0.169634073        0.101562151        0.256515720},{    0.209454625        0.103291875        0.244216786},{    0.206493294        0.101589974        0.240725676}
,{    0.171183954        0.103156049        0.260539054},{    0.169098761        0.101509643        0.256727597},{    0.209187649        0.103317491        0.244339732},{    0.206232427        0.101615181        0.240846125}
,{    0.170636143        0.103099630        0.260754496},{    0.168563420        0.101455660        0.256939002},{    0.208920581        0.103342730        0.244462585},{    0.205971473        0.101640024        0.240966485}
,{    0.170088313        0.103041690        0.260969450},{    0.168028057        0.101400201        0.257149934},{    0.208653423        0.103367593        0.244585345},{    0.205710430        0.101664501        0.241086754}
,{    0.169540469        0.102982229        0.261183914},{    0.167492676        0.101343267        0.257360392},{    0.208386175        0.103392079        0.244708011},{    0.205449299        0.101688612        0.241206933}
,{    0.168992616        0.102921247        0.261397886},{    0.166957282        0.101284859        0.257570374},{    0.208118838        0.103416188        0.244830585},{    0.205188082        0.101712358        0.241327021}
,{    0.168444759        0.102858745        0.261611365},{    0.166421880        0.101224975        0.257779878},{    0.207851411        0.103439920        0.244953064},{    0.204926779        0.101735738        0.241447019}
,{    0.167896903        0.102794723        0.261824350},{    0.165886474        0.101163619        0.257988903},{    0.207583897        0.103463275        0.245075450},{    0.204665390        0.101758753        0.241566925}
,{    0.167349053        0.102729183        0.262036838},{    0.165351069        0.101100789        0.258197448},{    0.207316295        0.103486253        0.245197741},{    0.204403916        0.101781402        0.241686741}
,{    0.166801214        0.102662124        0.262248828},{    0.164815670        0.101036486        0.258405512},{    0.207048606        0.103508854        0.245319938},{    0.204142357        0.101803685        0.241806465}
,{    0.166253391        0.102593547        0.262460319},{    0.164280282        0.100970711        0.258613091},{    0.206780830        0.103531077        0.245442041},{    0.203880714        0.101825602        0.241926097}
,{    0.165705589        0.102523453        0.262671310},{    0.163744910        0.100903465        0.258820186},{    0.206512969        0.103552923        0.245564049},{    0.203618988        0.101847152        0.242045638}
,{    0.165157814        0.102451842        0.262881798},{    0.163209558        0.100834747        0.259026795},{    0.206245022        0.103574391        0.245685962},{    0.203357178        0.101868337        0.242165087}
,{    0.164610069        0.102378715        0.263091783},{    0.162674232        0.100764560        0.259232916},{    0.205976991        0.103595482        0.245807780},{    0.203095287        0.101889155        0.242284443}
,{    0.164062361        0.102304073        0.263301262},{    0.162138935        0.100692902        0.259438548},{    0.205708875        0.103616195        0.245929502},{    0.202833313        0.101909607        0.242403707}
,{    0.163514694        0.102227916        0.263510235},{    0.161603674        0.100619776        0.259643690},{    0.205440676        0.103636530        0.246051129},{    0.202571259        0.101929692        0.242522878}
,{    0.162967073        0.102150246        0.263718699},{    0.161068453        0.100545181        0.259848339},{    0.205172394        0.103656487        0.246172660},{    0.202309123        0.101949411        0.242641957}
,{    0.162419504        0.102071062        0.263926654},{    0.160533276        0.100469119        0.260052495},{    0.204904030        0.103676066        0.246294095},{    0.202046908        0.101968764        0.242760942}
,{    0.161871990        0.101990366        0.264134097},{    0.159998149        0.100391590        0.260256156},{    0.204635584        0.103695268        0.246415434},{    0.201784613        0.101987749        0.242879834}
,{    0.161324539        0.101908158        0.264341028},{    0.159463076        0.100312594        0.260459321},{    0.204367057        0.103714091        0.246536676},{    0.201522239        0.102006368        0.242998633}
,{    0.160777154        0.101824440        0.264547444},{    0.158928062        0.100232133        0.260661987},{    0.204098449        0.103732535        0.246657821},{    0.201259787        0.102024620        0.243117338}
,{    0.160229840        0.101739211        0.264753345},{    0.158393113        0.100150207        0.260864155},{    0.203829761        0.103750602        0.246778870},{    0.200997256        0.102042505        0.243235949}
,{    0.159682603        0.101652474        0.264958729},{    0.157858232        0.100066818        0.261065823},{    0.203560994        0.103768290        0.246899822},{    0.200734649        0.102060022        0.243354466}
,{    0.159135447        0.101564228        0.265163594},{    0.157323424        0.099981965        0.261266988},{    0.203292148        0.103785599        0.247020676},{    0.200471964        0.102077173        0.243472889}
,{    0.158588378        0.101474474        0.265367940},{    0.156788695        0.099895650        0.261467650},{    0.203023223        0.103802530        0.247141432},{    0.200209204        0.102093957        0.243591217}
,{    0.158041400        0.101383214        0.265571764},{    0.156254050        0.099807874        0.261667807},{    0.202754221        0.103819082        0.247262091},{    0.199946368        0.102110373        0.243709450}
,{    0.157494519        0.101290449        0.265775065},{    0.155719492        0.099718637        0.261867458},{    0.202485142        0.103835255        0.247382652},{    0.199683457        0.102126422        0.243827589}
,{    0.156947740        0.101196179        0.265977842},{    0.155185028        0.099627941        0.262066601},{    0.202215987        0.103851050        0.247503115},{    0.199420472        0.102142103        0.243945632}
